"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","parameter","univariate_scenario"
"18","iFAST",2945074912.96261,120658.86288244,-606138.143407822,-9.27759198666899,420586.303674442,"all_all_all_r.multip.mort","low"
"19","current",2946670588.34828,120490.609868918,0,0,0,"all_all_all_prop.inap","low"
"20","iFAST",2946064234.81462,120304.402624587,-606353.533662796,186.207244331454,4330498.42029187,"all_all_all_prop.inap","low"
"21","current",2945681051.10602,120319.403398191,0,0,0,"all_1664_f_prop.bsi2die","low"
"22","iFAST",2945074912.96261,120133.428035167,-606138.143407822,185.975363024743,4325645.40390269,"all_1664_f_prop.bsi2die","low"
"23","current",2945681051.10602,116892.44251559,0,0,0,"all_1664_f_prop.uti2die","low"
"24","iFAST",2945074912.96261,116713.877175283,-606138.143407822,178.565340306319,4177444.9495342,"all_1664_f_prop.uti2die","low"
"25","current",3037782251.72132,120329.142549192,0,0,0,"all_1664_f_p.uti2discharge_other","low"
"26","iFAST",3037146823.63033,120150.369431379,-635428.090998173,178.773117812729,4210890.44725275,"all_1664_f_p.uti2discharge_other","low"
"27","current",2945833565.16738,120328.714416232,0,0,0,"all_1664_f_p.bsi2discharge","low"
"28","iFAST",2945227342.56383,120142.733896897,-606222.603548527,185.980519335382,4325832.99025617,"all_1664_f_p.bsi2discharge","low"
"29","current",2945681051.10602,120319.419396757,0,0,0,"all_1664_m_prop.bsi2die","low"
"30","iFAST",2945074912.96261,120133.442202253,-606138.143407822,185.97719450359,4325682.03347962,"all_1664_m_prop.bsi2die","low"
"31","current",2945681051.10602,117786.744254164,0,0,0,"all_1664_m_prop.uti2die","low"
"32","iFAST",2945074912.96261,117604.310517445,-606138.143407822,182.433736718594,4254812.87777971,"all_1664_m_prop.uti2die","low"
"33","current",3022737040.87148,120332.342854787,0,0,0,"all_1664_m_p.uti2discharge_other","low"
"34","iFAST",3022120748.91068,120149.84797918,-616291.960800648,182.494875607284,4266189.47294634,"all_1664_m_p.uti2discharge_other","low"
"35","current",2945840206.11393,120328.713928569,0,0,0,"all_1664_m_p.bsi2discharge","low"
"36","iFAST",2945234011.04046,120142.733409393,-606195.073474407,185.980519176534,4325805.45700508,"all_1664_m_p.bsi2discharge","low"
"37","current",2945681051.10602,120284.651153077,0,0,0,"all_65100_f_prop.bsi2die","low"
"38","iFAST",2945074912.96261,120098.687361957,-606138.143407822,185.963791119546,4325413.96579874,"all_65100_f_prop.bsi2die","low"
"39","current",2945681051.10602,107054.689423972,0,0,0,"all_65100_f_prop.uti2die","low"
"40","iFAST",2945074912.96261,106888.363338603,-606138.143407822,166.326085369074,3932659.85078929,"all_65100_f_prop.uti2die","low"
"41","current",3448810430.35947,120342.084116394,0,0,0,"all_65100_f_p.uti2discharge_other","low"
"42","iFAST",3448129271.31637,120175.394367606,-681159.043092251,166.689748788573,4014954.0188637,"all_65100_f_p.uti2discharge_other","low"
"43","current",2946588180.96008,120328.714029826,0,0,0,"all_65100_f_p.bsi2discharge","low"
"44","iFAST",2945981698.4328,120142.733510623,-606482.527277946,185.980519203309,4326092.91134413,"all_65100_f_p.bsi2discharge","low"
"45","current",2945681051.10602,120301.821029328,0,0,0,"all_65100_m_prop.bsi2die","low"
"46","iFAST",2945074912.96261,120115.850681622,-606138.143407822,185.970347706112,4325545.09753006,"all_65100_m_prop.bsi2die","low"
"47","current",2945681051.10602,109588.028805695,0,0,0,"all_65100_m_prop.uti2die","low"
"48","iFAST",2945074912.96261,109417.89231916,-606138.143407822,170.136486534859,4008867.874105,"all_65100_m_prop.uti2die","low"
"49","current",3274399651.04769,120327.561000485,0,0,0,"all_65100_m_p.uti2discharge_other","low"
"50","iFAST",3273745051.30801,120157.132805681,-654599.739683628,170.428194804073,4063163.6357651,"all_65100_m_p.uti2discharge_other","low"
"51","current",2946278381.6248,120328.714157446,0,0,0,"all_65100_m_p.bsi2discharge","low"
"52","iFAST",2945672017.55856,120142.733638199,-606364.066246986,185.980519247227,4325974.45119152,"all_65100_m_p.bsi2discharge","low"
"53","current",2945714820.9348,120338.67555421,0,0,0,"uncomplicated_1664_f_r.prev","low"
